"INFORMATION",,,,,,
"title","number_works",,,,,
"The Western Canon",25,,,,,
"WORK",,,,,,
"title","date","circa","place",,,
"The Dome of the Rock",690,true,"Jerusalem",,,
"MEDIA",,,,,,
"image_attachment","audio_attachment","caption","video","content_type","featured","work"
"RESOURCES",,,,,,
"title","link","description","work",,,
"WORK",,,,,,
"title","date","circa","place",,,
"Basilica of Constantius Chlorus","325",true,"Trier, Germany",,,
"MEDIA",,,,,,
"image_attachment","audio_attachment","caption","video","content_type","featured","work"
"RESOURCES",,,,,,
"title","link","description","work",,,
"WORK",,,,,,
"title","date","circa","place",,,
"Porta Marzia","-150",true,"Perugia, Italy",,,
"MEDIA",,,,,,
"image_attachment","audio_attachment","caption","video","content_type","featured","work"
"RESOURCES",,,,,,
"title","link","description","work",,,
"WORK",,,,,,
"title","date","circa","place",,,
"Apollo",-510,true,"Isola Farnese, Italy",,,
"MEDIA",,,,,,
"image_attachment","audio_attachment","caption","video","content_type","featured","work"
"RESOURCES",,,,,,
"title","link","description","work",,,
"WORK",,,,,,
"title","date","circa","place",,,
"The Akropolis",421,true,"Athens, Greece"
"MEDIA",,,,,,
"image_attachment","audio_attachment","caption","video","content_type","featured","work"
"RESOURCES",,,,,,
"title","link","description","work",,,
"WORK",,,,,,
"title","date","circa","place",,,
"Palace of Diocletian",300,true,"Spalato, Croatia"
"MEDIA",,,,,,
"image_attachment","audio_attachment","caption","video","content_type","featured","work"
"RESOURCES",,,,,,
"title","link","description","work",,,
"WORK",,,,,,
"title","date","circa","place",,,
"The Well of Moses",1400,true,"Dijon, France",,,
"MEDIA",,,,,,
"image_attachment","audio_attachment","caption","video","content_type","featured","work"
"RESOURCES",,,,,,
"title","link","description","work",,,
"WORK",,,,,,
"title","date","circa","place",,,
"Altarpiece of Saint Clare",1280,true,"Assisi, Italy",,,
"MEDIA",,,,,,
"image_attachment","audio_attachment","caption","video","content_type","featured","work"
"RESOURCES",,,,,,
"title","link","description","work",,,
"WORK",,,,,,
"title","date","circa","place",,,
"Saint Francis Preaching to the Birds",1295,true,"Assisi, Italy",,,
"MEDIA",,,,,,
"image_attachment","audio_attachment","caption","video","content_type","featured","work"
"RESOURCES",,,,,,
"title","link","description","work",,,
"WORK",,,,,,
"title","date","circa","place",,,
"St. Michael's at Hildesheim",1015,true,"Hildesheim, Germany",,,
"MEDIA",,,,,,
"image_attachment","audio_attachment","caption","video","content_type","featured","work"
"RESOURCES",,,,,,
"title","link","description","work",,,
"WORK",,,,,,
"title","date","circa","place",,,
"Christ in Majesty",1096,true,"Toulouse, France",,,
"MEDIA",,,,,,
"image_attachment","audio_attachment","caption","video","content_type","featured","work"
"RESOURCES",,,,,,
"title","link","description","work",,,
"WORK",,,,,,
"title","date","circa","place",,,
"Cathedral of Saint-Lazare",1128,true,"Autun, France"
"MEDIA",,,,,,
"image_attachment","audio_attachment","caption","video","content_type","featured","work"
"RESOURCES",,,,,,
"title","link","description","work",,,
"WORK",,,,,,
"title","date","circa","place",,,
"Cathedral of Santiago de Compostela",1097,true,"Santiago de Compostela",,,
"MEDIA",,,,,,
"image_attachment","audio_attachment","caption","video","content_type","featured","work"
"RESOURCES",,,,,,
"title","link","description","work",,,
"WORK",,,,,,
"title","date","circa","place",,,
"Moralia in Job",1111,false,"Dijon, France",,,
"MEDIA",,,,,,
"image_attachment","audio_attachment","caption","video","content_type","featured","work"
"RESOURCES",,,,,,
"title","link","description","work",,,
"WORK",,,,,,
"title","date","circa","place",,,
"Gospel Book of Abbot Wedricus",1147,true,"Nord-Pas-de-Calais, France",,,
"MEDIA",,,,,,
"image_attachment","audio_attachment","caption","video","content_type","featured","work"
"RESOURCES",,,,,,
"title","link","description","work",,,
"WORK",,,,,,
"title","date","circa","place",,,
"Notre-Dame-la-Grande",1125,true,"Poitiers, France",,,
"MEDIA",,,,,,
"image_attachment","audio_attachment","caption","video","content_type","featured","work"
"RESOURCES",,,,,,
"title","link","description","work",,,
"WORK",,,,,,
"title","date","circa","place",,,
"Column of Trajan",109,true,"Rome, Italy",,,
"MEDIA",,,,,,
"image_attachment","audio_attachment","caption","video","content_type","featured","work"
"RESOURCES",,,,,,
"title","link","description","work",,,
"WORK",,,,,,
"title","date","circa","place",,,
"Portrait of a Woman",120,true,"Fayum, Egypt",,,
"MEDIA",,,,,,
"image_attachment","audio_attachment","caption","video","content_type","featured","work"
"RESOURCES",,,,,,
"title","link","description","work",,,
"WORK",,,,,,
"title","date","circa","place",,,
"Mausoleum of Galla Placidia",431,true,"Ravenna, Italy",,,
"MEDIA",,,,,,
"image_attachment","audio_attachment","caption","video","content_type","featured","work"
"RESOURCES",,,,,,
"title","link","description","work",,,
"WORK",,,,,,
"title","date","circa","place",,,
"Anastasis at Kariye Camii",1315,true,"Istanbul, Turkey",,,
"MEDIA",,,,,,
"image_attachment","audio_attachment","caption","video","content_type","featured","work"
"RESOURCES",,,,,,
"title","link","description","work",,,
"WORK",,,,,,
"title","date","circa","place",,,
"The Lindisfarne Gospels",700,true,"Durham, England",,,
"MEDIA",,,,,,
"image_attachment","audio_attachment","caption","video","content_type","featured","work"
"RESOURCES",,,,,,
"title","link","description","work",,,
"WORK",,,,,,
"title","date","circa","place",,,
"Portrait of Menander",70,true,"Pompeii, Italy",,,
"MEDIA",,,,,,
"image_attachment","audio_attachment","caption","video","content_type","featured","work"
"RESOURCES",,,,,,
"title","link","description","work",,,
"WORK",,,,,,
"title","date","circa","place",,,
"Virgin of Essen",980,true,"Essen, Germany",,,
"MEDIA",,,,,,
"image_attachment","audio_attachment","caption","video","content_type","featured","work"
"RESOURCES",,,,,,
"title","link","description","work",,,
"WORK",,,,,,
"title","date","circa","place",,,
"Salisbury Cathedral",1240,true,"Salisbury, England",,,
"MEDIA",,,,,,
"image_attachment","audio_attachment","caption","video","content_type","featured","work"
"RESOURCES",,,,,,
"title","link","description","work",,,
"WORK",,,,,,
"title","date","circa","place",,,
"Madonna Enthroned",1285,true,"Florence, Italy",,,
"MEDIA",,,,,,
"image_attachment","audio_attachment","caption","video","content_type","featured","work"
"RESOURCES",,,,,,
"title","link","description","work",,,
